Tamanho	MS	QS
246000	0,090208	0,078196
247000	0,090168	0,081473
248000	0,092895	0,078994
249000	0,092236	0,079236
250000	0,092136	0,080361
251000	0,092184	0,081933
252000	0,092656	0,081642
253000	0,093312	0,080618
254000	0,094234	0,081129
255000	0,093651	0,081283
256000	0,094873	0,081469
257000	0,095071	0,084673
258000	0,094544	0,083567
259000	0,094905	0,083544
260000	0,095802	0,082865
261000	0,096079	0,084361
262000	0,096386	0,083706
263000	0,097906	0,083995
264000	0,097355	0,084309
265000	0,098467	0,085067
266000	0,098783	0,085919
267000	0,099491	0,08695
268000	0,100084	0,086192
269000	0,100238	0,087905
270000	0,10014	0,087123
271000	0,100463	0,087477
272000	0,101121	0,089451
273000	0,102087	0,087856
274000	0,102299	0,090536
275000	0,10259	0,088594
276000	0,101973	0,088974
277000	0,103471	0,089696
278000	0,103427	0,090288
279000	0,103253	0,090156
280000	0,104375	0,09024
281000	0,104091	0,092187
282000	0,104919	0,091371
283000	0,105978	0,091655
284000	0,105654	0,093893
285000	0,106821	0,092138
286000	0,107915	0,094849
287000	0,10781	0,094
288000	0,108595	0,093154
289000	0,107828	0,09344
290000	0,108292	0,093687
291000	0,107815	0,09443
292000	0,108872	0,094443
293000	0,109022	0,094755
294000	0,109689	0,0952
295000	0,108685	0,096034
296000	0,109956	0,095457
297000	0,110679	0,096579
298000	0,110905	0,096409
299000	0,110507	0,096863
300000	0,111414	0,097524
301000	0,112162	0,098175
302000	0,112781	0,098158
303000	0,113729	0,099142
304000	0,113231	0,098734
305000	0,113229	0,100039
306000	0,114027	0,099308
307000	0,114229	0,100948
308000	0,114449	0,101314
309000	0,115241	0,101063
310000	0,115376	0,100683
311000	0,116607	0,101134
312000	0,116059	0,101128
313000	0,116705	0,101716
314000	0,116322	0,103245
315000	0,116835	0,102244
316000	0,117228	0,103007
317000	0,118089	0,103451
318000	0,118525	0,104246
319000	0,11849	0,103878
320000	0,118574	0,104043
321000	0,118917	0,104518
322000	0,11985	0,104917
323000	0,11966	0,105235
324000	0,120225	0,106242
325000	0,120832	0,105263
326000	0,120973	0,109318
327000	0,121419	0,106513
328000	0,121777	0,107836
329000	0,121889	0,106947
330000	0,122515	0,109609
331000	0,124125	0,108235
332000	0,124055	0,108303
333000	0,124415	0,109136
334000	0,124268	0,10973
335000	0,128715	0,115895
336000	0,131059	0,110691
337000	0,126138	0,110198
338000	0,127439	0,11306
339000	0,127811	0,111253
340000	0,128331	0,110529
341000	0,128896	0,111466
342000	0,127989	0,112373
343000	0,129388	0,112894
344000	0,135569	0,116795
345000	0,128856	0,114777
346000	0,129848	0,114255
347000	0,130081	0,113891
348000	0,130238	0,114268
349000	0,130697	0,11444
350000	0,131593	0,114311
351000	0,131959	0,115609
352000	0,131287	0,115799
353000	0,131761	0,116877
354000	0,133287	0,117196
355000	0,133027	0,116559
356000	0,13296	0,116621
357000	0,133644	0,117504
358000	0,134459	0,116909
359000	0,134026	0,118001
360000	0,134334	0,117395
361000	0,13611	0,119316
362000	0,136	0,118529
363000	0,135402	0,12039
364000	0,136031	0,120557
365000	0,136952	0,120339
366000	0,136869	0,120021
367000	0,137484	0,120681
368000	0,137118	0,12133
369000	0,13812	0,120543
370000	0,13844	0,122448
371000	0,139061	0,121838
372000	0,139081	0,122903
373000	0,140191	0,122966
374000	0,140385	0,122181
375000	0,140291	0,126837
376000	0,141437	0,123261
377000	0,142083	0,123518
378000	0,141556	0,124815
379000	0,142164	0,125472
380000	0,141587	0,126395
381000	0,142894	0,126337
382000	0,14204	0,125932
383000	0,142237	0,127612
384000	0,142741	0,126696
