Tamanho	Merge	Insertion
229	3.5e-05	7e-05
230	3.3e-05	5e-05
231	3.4e-05	5.2e-05
232	3.4e-05	5.1e-05
233	3.4e-05	5.4e-05
234	3.4e-05	5.2e-05
235	3.4e-05	4.9e-05
236	3.4e-05	5.7e-05
237	3.4e-05	5.5e-05
238	3.5e-05	5.2e-05
239	3.5e-05	5.2e-05
240	3.5e-05	6e-05
241	3.5e-05	5.5e-05
242	3.5e-05	5.8e-05
243	3.5e-05	6.1e-05
244	3.6e-05	6.3e-05
245	3.7e-05	5.6e-05
246	3.7e-05	6.1e-05
247	3.7e-05	6.2e-05
248	3.6e-05	6e-05
249	3.6e-05	6.4e-05
250	3.6e-05	5.9e-05
251	3.6e-05	5.9e-05
252	3.7e-05	5.9e-05
253	3.6e-05	5.4e-05
254	3.6e-05	6.4e-05
255	3.6e-05	6.1e-05
256	3.7e-05	5.7e-05
257	3.7e-05	5.8e-05
258	3.7e-05	6.8e-05
259	3.8e-05	6.2e-05
260	3.8e-05	6.2e-05
261	3.8e-05	6.3e-05
262	3.8e-05	6.3e-05
263	3.8e-05	6.3e-05
264	3.9e-05	6.5e-05
265	3.9e-05	6.6e-05
266	3.9e-05	6.3e-05
267	4e-05	6.8e-05
268	3.9e-05	6.6e-05
269	4e-05	6.6e-05
270	4e-05	6.9e-05
271	4e-05	7.3e-05
272	4e-05	7e-05
273	4e-05	7.4e-05
274	4.1e-05	6.9e-05
275	4.1e-05	7.1e-05
276	4.1e-05	6.8e-05
277	4.1e-05	7.5e-05
278	4.1e-05	7.4e-05
279	4.1e-05	7.5e-05
280	4.2e-05	7.3e-05
281	4.2e-05	6.8e-05
282	4.1e-05	7.4e-05
283	4.2e-05	7.6e-05
284	4.2e-05	8.4e-05
285	4.2e-05	7.5e-05
286	4.2e-05	7.7e-05
287	4.2e-05	7.8e-05
288	4.3e-05	7.6e-05
289	4.3e-05	7.2e-05
290	4.3e-05	8.1e-05
291	4.3e-05	9.1e-05
292	4.2e-05	7.3e-05
293	4.2e-05	8.1e-05
294	4.2e-05	7.5e-05
295	4.2e-05	7.9e-05
296	4.3e-05	7.7e-05
297	4.2e-05	7.6e-05
298	4.4e-05	8.4e-05
299	4.3e-05	7.7e-05
300	4.3e-05	7.3e-05
301	4.3e-05	8.3e-05
302	4.3e-05	8.5e-05
303	4.4e-05	8.3e-05
304	4.4e-05	8.1e-05
305	4.3e-05	8.5e-05
306	4.5e-05	9.7e-05
307	4.2e-05	8.5e-05
308	4.2e-05	7.9e-05
309	4.3e-05	8.1e-05
310	4.3e-05	7.9e-05
311	4.3e-05	8.4e-05
312	4.3e-05	7.9e-05
313	4.3e-05	8.8e-05
314	4.4e-05	9.3e-05
315	4.3e-05	8.8e-05
316	4.3e-05	8.9e-05
317	4.4e-05	9.2e-05
318	4.3e-05	9e-05
319	4.4e-05	8.2e-05
320	4.4e-05	8.6e-05
321	4.2e-05	8.9e-05
322	4.3e-05	8.6e-05
323	4.3e-05	8.3e-05
324	4.3e-05	8.6e-05
325	4.3e-05	8.5e-05
326	4.4e-05	8.6e-05
327	4.4e-05	8.6e-05
328	4.4e-05	8.5e-05
329	4.5e-05	8.9e-05
330	4.5e-05	8.4e-05
331	4.5e-05	8.8e-05
332	4.4e-05	9e-05
333	4.5e-05	9.1e-05
334	4.6e-05	9.3e-05
335	4.6e-05	0.000103
336	4.4e-05	8.8e-05
337	4.4e-05	8.6e-05
338	4.4e-05	9.1e-05
339	4.5e-05	8.6e-05
340	4.5e-05	9.3e-05
341	4.5e-05	9.5e-05
342	4.5e-05	0.000101
343	4.4e-05	9.9e-05
344	4.5e-05	9.6e-05
345	4.4e-05	9.4e-05
346	4.5e-05	9.5e-05
347	4.6e-05	0.000101
348	4.6e-05	0.000101
349	4.8e-05	0.000101
350	4.7e-05	0.000101
351	4.6e-05	0.000103
352	4.8e-05	9.9e-05
353	4.7e-05	0.000101
354	4.8e-05	9.8e-05
355	4.9e-05	0.000105
356	4.9e-05	0.000103
357	4.8e-05	0.000102
358	4.8e-05	0.000102
359	4.9e-05	0.000101
360	4.7e-05	0.000125
361	4.7e-05	9.8e-05
362	4.7e-05	0.000103
363	4.7e-05	0.000105
364	4.6e-05	9.9e-05
365	4.7e-05	0.000105
366	4.7e-05	0.000102
367	4.7e-05	0.000113
368	4.7e-05	0.0001
369	4.7e-05	0.00011
370	4.7e-05	0.000107
371	4.7e-05	0.000105
372	4.7e-05	0.000111
373	4.8e-05	0.000105
374	4.7e-05	0.000109
375	4.8e-05	0.000109
376	4.7e-05	0.000108
377	4.8e-05	0.000113
378	4.9e-05	0.000127
379	4.7e-05	0.000108
380	4.7e-05	0.000106
381	4.7e-05	0.000105
382	4.6e-05	9.9e-05
383	4.6e-05	0.000107
384	4.7e-05	0.000109
385	4.8e-05	0.000104
386	4.7e-05	0.000113
387	4.7e-05	0.000112
388	4.8e-05	0.000112
389	4.9e-05	0.000115
390	4.9e-05	0.000114
391	5.7e-05	0.000115
392	5e-05	0.000107
393	4.9e-05	0.000114
394	5e-05	0.000115
395	5e-05	0.000118
396	5.1e-05	0.000115
397	5e-05	0.000117
398	5.1e-05	0.000132
399	5.3e-05	0.000117
400	5e-05	0.000121
401	5.2e-05	0.000126
402	5.2e-05	0.000121
403	5.1e-05	0.000123
404	5.4e-05	0.000129
405	5e-05	0.000125
406	5.1e-05	0.000127
407	5.1e-05	0.000122
408	5.1e-05	0.000122
409	5.2e-05	0.000124
410	5.1e-05	0.000122
411	5.2e-05	0.000119
412	5.2e-05	0.000131
413	5.2e-05	0.000125
414	5.2e-05	0.000127
415	5.2e-05	0.000122
416	5.3e-05	0.000136
417	5.2e-05	0.000125
418	5.1e-05	0.000125
419	5.1e-05	0.000126
420	5.1e-05	0.000123
421	5.1e-05	0.000129
422	5.1e-05	0.00013
423	5.2e-05	0.000132
424	5.2e-05	0.000134
425	5.2e-05	0.000125
426	5.2e-05	0.000131
427	5.2e-05	0.000127
428	5.3e-05	0.00013
429	5.3e-05	0.000128
430	5.2e-05	0.000127
431	5.3e-05	0.000125
432	5.3e-05	0.000138
433	5.3e-05	0.000127
434	5.3e-05	0.000134
435	5.3e-05	0.000132
436	5.3e-05	0.000136
437	5.4e-05	0.000144
438	5.3e-05	0.000128
439	5.3e-05	0.000131
440	5.4e-05	0.000139
441	5.3e-05	0.000142
442	5.4e-05	0.000131
443	5.4e-05	0.000137
444	5.4e-05	0.000143
445	5.5e-05	0.000135
446	5.4e-05	0.000135
447	5.4e-05	0.000141
448	5.4e-05	0.000145
449	5.4e-05	0.000143
450	5.5e-05	0.000142
451	5.5e-05	0.000147
452	5.5e-05	0.000139
453	5.5e-05	0.000135
454	5.5e-05	0.000139
455	5.6e-05	0.000145
456	5.5e-05	0.000146
457	5.6e-05	0.000159
458	5.6e-05	0.000144
459	5.6e-05	0.000142
460	5.6e-05	0.000154
461	5.6e-05	0.000155
462	5.6e-05	0.00016
463	5.5e-05	0.000137
464	5.5e-05	0.000147
465	5.6e-05	0.000141
466	5.5e-05	0.000149
467	5.6e-05	0.000152
468	5.6e-05	0.000143
469	5.6e-05	0.00016
470	5.6e-05	0.000156
471	5.6e-05	0.000157
472	5.9e-05	0.00015
473	5.7e-05	0.000152
474	5.6e-05	0.000159
475	5.6e-05	0.000152
476	5.7e-05	0.00015
477	5.7e-05	0.000154
478	5.7e-05	0.000152
479	5.7e-05	0.000154
480	5.8e-05	0.000162
481	5.8e-05	0.000157
482	5.8e-05	0.000159
483	5.8e-05	0.000155
484	5.8e-05	0.000146
485	5.8e-05	0.000166
486	5.6e-05	0.000151
487	5.6e-05	0.000147
488	5.6e-05	0.00016
489	5.7e-05	0.000167
490	5.8e-05	0.000166
491	5.8e-05	0.000162
492	5.9e-05	0.000172
493	5.9e-05	0.000163
494	6e-05	0.000172
495	5.7e-05	0.000162
496	5.7e-05	0.000167
497	5.8e-05	0.000169
498	5.9e-05	0.000162
499	5.9e-05	0.000169
500	5.8e-05	0.000173
501	5.8e-05	0.000162
502	5.8e-05	0.000169
503	5.6e-05	0.000163
504	5.7e-05	0.000152
505	5.7e-05	0.000168
506	5.8e-05	0.000172
507	6.3e-05	0.000167
508	5.7e-05	0.000163
509	5.7e-05	0.000171
510	5.7e-05	0.000167
511	5.8e-05	0.000157
512	5.7e-05	0.000167
513	5.7e-05	0.000161
514	5.8e-05	0.000168
515	5.8e-05	0.000167
516	5.8e-05	0.000174
517	5.8e-05	0.000179
518	5.9e-05	0.000168
519	5.9e-05	0.000165
520	5.9e-05	0.000172
521	5.9e-05	0.000183
522	6e-05	0.000168
523	5.9e-05	0.00018
524	6.3e-05	0.000178
525	6e-05	0.000175
526	6e-05	0.000173
527	6e-05	0.000183
528	6e-05	0.000175
529	6.1e-05	0.000182
530	6.1e-05	0.00018
531	6.1e-05	0.000197
532	5.9e-05	0.000177
533	5.9e-05	0.000179
534	5.9e-05	0.000176
535	5.9e-05	0.000196
536	5.8e-05	0.000166
537	5.8e-05	0.000183
538	5.9e-05	0.000183
539	5.8e-05	0.000163
540	6.1e-05	0.000176
541	5.9e-05	0.000167
542	5.9e-05	0.00018
543	5.9e-05	0.000169
544	7.1e-05	0.000177
545	5.7e-05	0.000174
546	5.7e-05	0.00018
547	5.7e-05	0.000174
548	5.8e-05	0.000177
549	5.8e-05	0.000181
550	5.8e-05	0.00018
551	6e-05	0.000183
552	5.9e-05	0.000183
553	5.9e-05	0.000183
554	5.9e-05	0.00018
555	6e-05	0.000188
556	6.6e-05	0.000178
557	5.9e-05	0.000184
558	5.9e-05	0.000183
559	6e-05	0.000185
560	5.9e-05	0.000186
561	5.9e-05	0.000189
562	5.9e-05	0.000181
563	6e-05	0.000184
564	6.6e-05	0.000181
565	5.9e-05	0.000194
566	6e-05	0.000189
567	6e-05	0.000186
568	6e-05	0.000189
569	6e-05	0.000183
570	6e-05	0.000185
571	6e-05	0.000195
572	6e-05	0.000196
573	6e-05	0.000173
574	6e-05	0.000194
575	6e-05	0.000194
576	6.1e-05	0.000185
577	6.1e-05	0.000195
578	6.2e-05	0.000198
579	6.1e-05	0.0002
580	6.2e-05	0.000192
581	6.1e-05	0.00019
582	6.2e-05	0.00019
583	6.2e-05	0.000195
584	6.2e-05	0.000202
585	6.2e-05	0.000197
586	6.3e-05	0.000272
587	6.2e-05	0.000208
588	6.2e-05	0.000201
589	6.2e-05	0.000215
590	7.4e-05	0.000214
591	7.4e-05	0.000208
592	7.5e-05	0.000214
593	7.4e-05	0.000215
594	9.3e-05	0.000199
595	7.5e-05	0.000222
596	7.4e-05	0.000201
597	8.7e-05	0.000197
598	9.1e-05	0.000202
599	7.5e-05	0.000217
600	7.9e-05	0.00024
601	7.6e-05	0.000228
602	7.5e-05	0.000218
603	8.1e-05	0.000268
604	7.5e-05	0.000229
605	9e-05	0.000199
606	9.5e-05	0.000211
607	9.5e-05	0.000235
608	8.2e-05	0.000221
609	8.1e-05	0.000215
610	6.5e-05	0.000236
611	7.8e-05	0.000223
612	8.2e-05	0.000247
613	9.8e-05	0.000217
614	9.7e-05	0.000227
615	9.7e-05	0.000211
616	9.7e-05	0.000211
617	9.7e-05	0.000225
618	9.8e-05	0.000236
619	6.3e-05	0.000226
620	9.9e-05	0.000243
621	0.000116	0.000246
622	9.5e-05	0.00021
623	9.5e-05	0.000217
624	8.1e-05	0.000278
625	9.5e-05	0.000212
626	6.2e-05	0.000208
627	8.8e-05	0.00022
628	8.8e-05	0.000213
629	8.9e-05	0.000217
630	8.9e-05	0.000216
631	8.9e-05	0.000226
632	8.8e-05	0.000208
633	8.9e-05	0.000208
634	7.8e-05	0.000234
635	8.9e-05	0.000218
636	8.9e-05	0.000222
637	7.7e-05	0.000237
638	8.9e-05	0.000204
639	8.9e-05	0.000212
640	8.9e-05	0.000214
641	8.9e-05	0.000216
642	9e-05	0.000232
643	9e-05	0.000225
644	9e-05	0.00023
645	9e-05	0.000224
646	9.5e-05	0.000218
647	9.2e-05	0.00022
648	9e-05	0.00022
649	9.1e-05	0.000244
650	9.2e-05	0.000241
651	9.1e-05	0.000218
652	9e-05	0.000225
653	9.1e-05	0.000231
654	9.2e-05	0.000234
655	9.2e-05	0.000229
656	9.6e-05	0.000299
657	9.6e-05	0.00026
658	9.5e-05	0.000228
659	0.00012	0.000299
660	7.1e-05	0.000235
661	6.8e-05	0.000283
662	6.7e-05	0.000232
663	6.7e-05	0.000231
664	6.7e-05	0.000239
665	6.8e-05	0.000242
666	6.7e-05	0.000238
667	6.8e-05	0.00028
668	0.000136	0.000254
669	0.000103	0.000241
670	0.000103	0.000237
671	0.000101	0.000244
672	0.000103	0.00025
673	8.9e-05	0.000245
674	0.000104	0.000241
675	0.000104	0.000246
676	0.000103	0.000244
677	0.000104	0.000245
678	0.000103	0.000242
679	0.000102	0.000258
680	0.000102	0.000244
681	6.8e-05	0.000246
682	9.7e-05	0.000252
683	9.7e-05	0.000245
684	8.5e-05	0.000277
685	9.7e-05	0.000258
686	9.6e-05	0.000243
687	9.7e-05	0.000247
688	9.5e-05	0.000253
689	9.8e-05	0.000251
690	9.5e-05	0.000247
691	9.7e-05	0.000268
692	9.5e-05	0.000239
693	9.7e-05	0.000267
694	0.000112	0.000262
695	8.7e-05	0.000272
696	0.000104	0.000253
697	0.000103	0.000291
698	9.3e-05	0.000358
699	0.000105	0.000286
700	9.6e-05	0.000401
701	0.000117	0.000306
702	7e-05	0.000263
703	7e-05	0.000252
704	7.1e-05	0.000264
705	7e-05	0.000316
706	7.2e-05	0.000279
707	7.3e-05	0.000269
708	0.000113	0.000265
709	7.1e-05	0.000262
710	7.2e-05	0.000267
711	7.2e-05	0.000267
712	7.1e-05	0.00027
713	7.1e-05	0.000264
714	7.1e-05	0.000284
715	7.2e-05	0.000277
716	7.2e-05	0.00031
717	7.2e-05	0.000277
718	7.2e-05	0.000268
719	7.2e-05	0.000279
720	7.2e-05	0.000282
721	7.2e-05	0.000274
722	7.3e-05	0.00027
723	7.2e-05	0.000276
724	7.3e-05	0.000282
725	7.3e-05	0.00028
726	7.3e-05	0.000293
727	7.3e-05	0.000309
728	7.3e-05	0.000289
729	7.3e-05	0.000278
730	7.3e-05	0.000295
731	7.4e-05	0.000278
732	7.4e-05	0.000282
733	7.4e-05	0.000296
734	7.4e-05	0.000286
735	7.5e-05	0.00029
736	7.4e-05	0.000287
737	7.4e-05	0.000288
738	0.000102	0.000304
739	7.3e-05	0.000288
740	7.4e-05	0.0003
741	7.5e-05	0.000298
742	7.5e-05	0.000297
743	7.4e-05	0.000301
744	7.5e-05	0.000306
745	7.5e-05	0.000301
746	7.5e-05	0.0003
747	7.5e-05	0.000365
748	9.8e-05	0.000341
749	0.000105	0.000301
750	8.3e-05	0.000368
751	9.7e-05	0.000321
752	0.000112	0.000312
753	0.000114	0.000315
754	0.000113	0.000308
755	0.000114	0.000313
756	0.000113	0.00036
757	0.00011	0.000294
758	0.00011	0.000302
759	0.00011	0.000309
760	0.00011	0.000305
761	0.00011	0.000297
762	0.000121	0.000313
763	0.000102	0.000316
764	0.000104	0.0003
765	0.000105	0.000355
766	0.000101	0.000349
767	0.000105	0.000305
768	0.000106	0.000309
769	0.000106	0.00032
770	0.000106	0.000303
771	0.000107	0.000302
772	0.000105	0.000316
773	0.000111	0.000349
774	0.000108	0.000367
775	9.7e-05	0.000338
776	0.000118	0.000364
777	0.000128	0.000326
778	7.9e-05	0.000319
779	7.9e-05	0.000314
780	7.9e-05	0.000328
781	8e-05	0.000339
782	8.2e-05	0.000363
783	0.000116	0.000368
784	8.6e-05	0.000487
785	9.8e-05	0.00051
786	0.000124	0.000436
787	8.5e-05	0.000341
788	8.1e-05	0.000338
789	8.2e-05	0.000343
790	8.1e-05	0.000335
791	8.1e-05	0.000387
792	0.00011	0.000364
793	0.000118	0.000329
794	0.000119	0.000335
795	0.000119	0.000327
796	0.000115	0.000358
797	0.000112	0.000329
798	0.000113	0.000343
799	0.000113	0.000348
800	0.000112	0.000367
801	0.000113	0.000352
802	0.000113	0.000358
803	0.000113	0.000351
804	0.000113	0.000349
805	0.000113	0.000323
806	0.000113	0.000358
807	0.000114	0.000354
808	0.000105	0.000352
809	0.000119	0.000349
810	0.000114	0.000345
811	0.000115	0.000354
812	0.000132	0.00036
813	0.000103	0.000354
814	0.000116	0.000361
815	0.000114	0.000352
816	0.000116	0.000349
817	0.000103	0.000379
818	0.000105	0.000433
819	8.4e-05	0.000349
820	8.4e-05	0.00036
821	8.5e-05	0.000352
822	8.5e-05	0.000367
823	8.4e-05	0.000365
824	8.4e-05	0.000373
825	8.4e-05	0.000403
826	8.5e-05	0.000365
827	8.4e-05	0.000373
828	8.4e-05	0.000358
829	9e-05	0.00037
830	8.4e-05	0.000364
831	8.5e-05	0.000369
832	8.5e-05	0.000383
833	8.5e-05	0.000378
834	8.6e-05	0.000407
835	8.6e-05	0.000378
836	8.6e-05	0.000371
837	8.6e-05	0.000572
838	0.00012	0.00059
839	0.00016	0.000366
840	8.7e-05	0.000368
841	8.7e-05	0.000429
842	8.7e-05	0.000388
843	8.6e-05	0.000381
844	8.9e-05	0.000497
845	8.6e-05	0.000379
846	8.8e-05	0.000387
847	8.8e-05	0.000382
848	8.7e-05	0.000381
849	8.8e-05	0.000429
850	8.8e-05	0.000368
851	8.9e-05	0.000401
852	0.000127	0.000424
